"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source","raw_row","easting_m","northing_m","month"
-1.3088,114.21481,306.98,0.43,0.38,2026-03-28,"1744","SNPP","SNPP","n","2",288.16,0.25,"N",0,"archive",15723,190035.605703062,9855165.84109535,"2026-03"
-1.3828,114.32668,330.18,0.56,0.51,2026-03-29,"0624","SNPP","SNPP","n","2",292.96,6.46,"D",0,"archive",15853,202503.904705023,9846991.17733625,"2026-03"
-1.37803,114.32593,341.69,0.56,0.51,2026-03-29,"0624","SNPP","SNPP","n","2",293.72,6.46,"D",0,"archive",15854,202419.787320177,9847518.89254143,"2026-03"
-1.48194,114.57989,300.94,0.45,0.47,2026-04-06,"1816","SNPP","SNPP","n","2",287.87,0.58,"N",0,"archive",17385,230711.30148499,9836053.58786445,"2026-04"
-1.48056,114.57891,306.73,0.4,0.37,2026-04-07,"1757","SNPP","SNPP","n","2",288.79,0.7,"N",0,"archive",17499,230602.023503619,9836206.13808078,"2026-04"
-1.48112,114.58245,303.72,0.4,0.37,2026-04-07,"1757","SNPP","SNPP","n","2",288.93,0.61,"N",0,"archive",17500,230996.227047267,9836144.6156659,"2026-04"
-1.48165,114.5808,297.63,0.41,0.37,2026-04-13,"1745","SNPP","SNPP","n","2",272.48,0.69,"N",0,"archive",18026,230812.58382943,9836085.78126432,"2026-04"
-1.29575,114.26157,341.03,0.56,0.52,2026-04-14,"0625","SNPP","SNPP","n","2",292.88,11.46,"D",0,"archive",18163,195241.988521947,9856615.66259551,"2026-04"
-1.47877,114.57915,300.42,0.53,0.67,2026-04-15,"1708","SNPP","SNPP","n","2",283.02,0.61,"N",0,"archive",18378,230628.528431532,9836404.19506749,"2026-04"
-1.82303,114.54119,344.09,0.38,0.36,2026-04-21,"0554","SNPP","SNPP","n","2",298.45,9.54,"D",0,"archive",19441,226449.19380224,9798312.91255966,"2026-04"
