"r","observed","lower","upper","reference"
5.8,1.52980098498149,-0.320462378849236,-0.141197249139236,"Inhomogeneous reference"
5.9,1.48242481832255,-0.330379046497646,-0.145621815402607,"Inhomogeneous reference"
6,1.4378664233132,-0.332765887599226,-0.145428009281957,"Inhomogeneous reference"
6.1,1.39367199865851,-0.333882495764665,-0.143182044085591,"Inhomogeneous reference"
6.2,1.35026588531078,-0.341139508913459,-0.143346796363518,"Inhomogeneous reference"
6.3,1.30333780244139,-0.353852752521818,-0.157671511638255,"Inhomogeneous reference"
6.4,1.2599773453524,-0.362409439817308,-0.16148387080189,"Inhomogeneous reference"
6.5,1.21763553729801,-0.372335490215741,-0.165811757350537,"Inhomogeneous reference"
6.6,1.17077588490598,-0.374343705346703,-0.169722191304397,"Inhomogeneous reference"
6.7,1.1348018799183,-0.379898087817,-0.172238448557249,"Inhomogeneous reference"
6.8,1.09732062065279,-0.388398351677838,-0.176968195960971,"Inhomogeneous reference"
6.9,1.06092251887195,-0.385380363299316,-0.183451863273257,"Inhomogeneous reference"
7,1.02363584890756,-0.395075250775333,-0.187611067100971,"Inhomogeneous reference"
7.1,0.989512023782383,-0.407559534899832,-0.192329372137147,"Inhomogeneous reference"
7.2,0.998919137009993,-0.41641409730366,-0.198273517444903,"Inhomogeneous reference"
7.3,0.959070555519357,-0.421705430531159,-0.196989473303479,"Inhomogeneous reference"
7.4,0.917104214866708,-0.427908578060803,-0.201226776931409,"Inhomogeneous reference"
7.5,0.876571352301223,-0.428453873810504,-0.203416261993565,"Inhomogeneous reference"
7.6,0.840228257274014,-0.433472645278903,-0.201404294731571,"Inhomogeneous reference"
7.7,0.806066065125777,-0.438605297378419,-0.208722391858914,"Inhomogeneous reference"
7.8,0.769761989989139,-0.445180728530138,-0.212330301019197,"Inhomogeneous reference"
7.9,0.731663699545726,-0.453711509839223,-0.210977640239159,"Inhomogeneous reference"
